"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"KG000036911","TOKMAK, KG","2022-01-01","40","54",
"KG000036911","TOKMAK, KG","2022-01-02","36","50",
"KG000036911","TOKMAK, KG","2022-01-03","38","60","26"
"KG000036911","TOKMAK, KG","2022-01-04","35","41","31"
"KG000036911","TOKMAK, KG","2022-01-05","33","38",
"KG000036911","TOKMAK, KG","2022-01-06","36","50",
"KG000036911","TOKMAK, KG","2022-01-07","33","36","29"
"KG000036911","TOKMAK, KG","2022-01-08","29","51","28"
"KG000036911","TOKMAK, KG","2022-01-09","27","31",
"KG000036911","TOKMAK, KG","2022-01-10","29","32","23"
"KG000036911","TOKMAK, KG","2022-01-11","30","38","27"
"KG000036911","TOKMAK, KG","2022-01-12","40","56","27"
"KG000036911","TOKMAK, KG","2022-01-13","37","47",
"KG000036911","TOKMAK, KG","2022-01-14","42",,"27"
"KG000036911","TOKMAK, KG","2022-01-15","47","62",
"KG000036911","TOKMAK, KG","2022-01-16","41","55","32"
"KG000036911","TOKMAK, KG","2022-01-17","36","41","34"
"KG000036911","TOKMAK, KG","2022-01-18","39","48","31"
"KG000036911","TOKMAK, KG","2022-01-19","32","34",
"KG000036911","TOKMAK, KG","2022-01-20","30","34",
"KG000036911","TOKMAK, KG","2022-01-21","33","45","23"
"KG000036911","TOKMAK, KG","2022-01-22","34","49","24"
"KG000036911","TOKMAK, KG","2022-01-23","32","35","28"
"KG000036911","TOKMAK, KG","2022-01-24","31","37",
"KG000036911","TOKMAK, KG","2022-01-25","30","37",
"KG000036911","TOKMAK, KG","2022-01-26","29","40","20"
"KG000036911","TOKMAK, KG","2022-01-27","32","49",
"KG000036911","TOKMAK, KG","2022-01-28","39","52","20"
"KG000036911","TOKMAK, KG","2022-01-29","35","42","30"
"KG000036911","TOKMAK, KG","2022-01-30","33","42",
"KG000036911","TOKMAK, KG","2022-01-31","26","33","20"
"KG000036911","TOKMAK, KG","2022-02-01","27","38","21"
"KG000036911","TOKMAK, KG","2022-02-02","30","44","15"
"KG000036911","TOKMAK, KG","2022-02-03","33","41","27"
"KG000036911","TOKMAK, KG","2022-02-04","35","50","25"
"KG000036911","TOKMAK, KG","2022-02-05","43","53","29"
"KG000036911","TOKMAK, KG","2022-02-06","43","59",
"KG000036911","TOKMAK, KG","2022-02-07","32","34",
"KG000036911","TOKMAK, KG","2022-02-08","32","39","28"
"KG000036911","TOKMAK, KG","2022-02-09","29","34",
"KG000036911","TOKMAK, KG","2022-02-10","27","39","16"
"KG000036911","TOKMAK, KG","2022-02-11","38","52","24"
"KG000036911","TOKMAK, KG","2022-02-12","31",,
"KG000036911","TOKMAK, KG","2022-02-13","33","42","25"
"KG000036911","TOKMAK, KG","2022-02-14","33","39",
"KG000036911","TOKMAK, KG","2022-02-15","25","33","22"
"KG000036911","TOKMAK, KG","2022-02-16","26","34","21"
"KG000036911","TOKMAK, KG","2022-02-17","26",,"18"
"KG000036911","TOKMAK, KG","2022-02-18","27","37","18"
"KG000036911","TOKMAK, KG","2022-02-19","38","56","19"
"KG000036911","TOKMAK, KG","2022-02-20","44","58","31"
"KG000036911","TOKMAK, KG","2022-02-21","44","59",
"KG000036911","TOKMAK, KG","2022-02-22","43","56","32"
"KG000036911","TOKMAK, KG","2022-02-23","43","57","32"
"KG000036911","TOKMAK, KG","2022-02-24","42","57","31"
"KG000036911","TOKMAK, KG","2022-02-25","42","56","31"
"KG000036911","TOKMAK, KG","2022-02-26","43","55","34"
"KG000036911","TOKMAK, KG","2022-02-27","44","60","32"
"KG000036911","TOKMAK, KG","2022-02-28","45","61","30"
"KG000036911","TOKMAK, KG","2022-03-01","48","55","35"
"KG000036911","TOKMAK, KG","2022-03-02","42","48",
"KG000036911","TOKMAK, KG","2022-03-03","44","58","34"
"KG000036911","TOKMAK, KG","2022-03-04","53","66","36"
"KG000036911","TOKMAK, KG","2022-03-05","58","70","47"
"KG000036911","TOKMAK, KG","2022-03-06","48","55","44"
"KG000036911","TOKMAK, KG","2022-03-07","44","57",
"KG000036911","TOKMAK, KG","2022-03-08","42","47","36"
"KG000036911","TOKMAK, KG","2022-03-09","44","48","38"
"KG000036911","TOKMAK, KG","2022-03-10","44","54",
"KG000036911","TOKMAK, KG","2022-03-11","49","57","38"
"KG000036911","TOKMAK, KG","2022-03-12","49","56","45"
"KG000036911","TOKMAK, KG","2022-03-13","50","62",
"KG000036911","TOKMAK, KG","2022-03-14","48","56",
"KG000036911","TOKMAK, KG","2022-03-15","39","44",
"KG000036911","TOKMAK, KG","2022-03-16","42","46","33"
"KG000036911","TOKMAK, KG","2022-03-17","46","55","40"
"KG000036911","TOKMAK, KG","2022-03-18","35",,"33"
"KG000036911","TOKMAK, KG","2022-03-19","34","35",
"KG000036911","TOKMAK, KG","2022-03-20","36","45","31"
"KG000036911","TOKMAK, KG","2022-03-21","42","54",
"KG000036911","TOKMAK, KG","2022-03-22","36","40","32"
"KG000036911","TOKMAK, KG","2022-03-23","32","36",
"KG000036911","TOKMAK, KG","2022-03-24","37","47",
"KG000036911","TOKMAK, KG","2022-03-25","42","59","32"
"KG000036911","TOKMAK, KG","2022-03-26","55","66","41"
"KG000036911","TOKMAK, KG","2022-03-27","45","55","38"
"KG000036911","TOKMAK, KG","2022-03-28","47","58","40"
"KG000036911","TOKMAK, KG","2022-03-29","39","61",
"KG000036911","TOKMAK, KG","2022-03-30","41","54","24"
"KG000036911","TOKMAK, KG","2022-03-31","58","74","36"
"KG000036911","TOKMAK, KG","2022-04-01","55","71","40"
"KG000036911","TOKMAK, KG","2022-04-02","54","68","43"
"KG000036911","TOKMAK, KG","2022-04-03","61","74","43"
"KG000036911","TOKMAK, KG","2022-04-04","65","78",
